Datetime,Tweet Id,Text,Username
2023-03-30 21:09:49+00:00,1641548305061781506,"Raila alleges of another assassination attempt
https://t.co/YCZAFdxKRr
#Raila #MaandamanoThursdays #Maandamano #Demonstrations #Nairobi #Kisumu #KDD233P #UhuruKenyatta #RutoMustGo",MumoOnesmas
2023-03-30 21:07:16+00:00,1641547663954022400,"100% first deposit bonus 💰
Zero taxes ✓
Free withdrawals ✅
Register and claim yours now!
🇰🇪 https://t.co/OjbP6imAiG
🇳🇬 https://t.co/MSQhf8rs9g

Thika Road Kisumu Bandits #MaandamanoThursdays Malema #Raila Pwani University Babu Owino Eldoret R.I.P https://t.co/WYS5j9YcGa",Tasha_ke746
2023-03-30 21:06:53+00:00,1641547566587183107,"#MaandamanoThursdays  Kisumu. 

 Raila is saying this is his car then Babu Owino is saying NMG journalist injured by police was in this “alleged” media house vehicle. 
Now NMG should tell  why the car reg number is masked.  Is it KBB 233B or KDD 233P. https://t.co/UstAfv7zCy",Gavanor01
2023-03-30 21:06:45+00:00,1641547533511012359,"Avoid Outering Road, if you can. Especially the stretch between Donholm and Fedha. A gang of youth has blocked the highway, and asking for valuables from motorists before they let you pass.
#MaandamanoThursdays",ogetta_daniel
2023-03-30 21:05:59+00:00,1641547344117129218,"Maandamano Thursday: Where is Raila 
#RailaOdinga 

https://t.co/6yExt0XJFe",thecivican
2023-03-30 21:05:57+00:00,1641547332247322624,"Raila Odinga promises mother of all demonstrations on Monday, April 3 
#RailaOdinga 

https://t.co/J26mOHPHg6",thecivican
2023-03-30 20:59:11+00:00,1641545630593220608,"Does @RailaOdinga know the chaos  he causing. I am not fan of @WilliamsRuto, but this has to stop. He's Selfish
#OuteringRoad #RailaOdinga",alikula0
2023-03-30 20:58:18+00:00,1641545410324881409,"As a journalist by profession, I join the rest of the world in condemning the blatant attack on journalist and media persons who were deployed by their stations, including CITIZEN TV &amp; @ntvkenya to cover #MaandamanoThursdays. It's crude for govt to crack down on media.
 KDD 233P https://t.co/qV9Dg7sCoI",HonAyubSavula
2023-03-30 20:57:05+00:00,1641545102366502914,WAKIRUSHAAAAA.......TUNARUSHAAAA!!#MaandamanoThursdays https://t.co/FGoqSwys00,Jeshi_LaBABA
2023-03-30 20:56:17+00:00,1641544900997988354,"As a journalist by profession, I join the rest of the world in condemning the blatant attack on journalist and media persons who were deployed by their stations, including CITIZEN TV &amp; @ntvkenya to cover #MaandamanoThursdays. It's crude for govt to crack down on media.
 KBB 233B https://t.co/TpBz4SyJK4",HonAyubSavula
