username,lemmatized_text,extract_hashtags
TerrChuLei,  Raila minion : realize KK govt unmoved matter theyre claim inthe interest Ruto tat handshake shuld happen Tunawaambia Ngo Ngo Ngo,MaandamanoThursdays
DiscoveriesAct,  car belong Mathare North lawmaker ally AZIMIO curious journalist transport inside car People dont listen tell medium part anarchy script Alai Kayole,MaandamanoThursdays
Silent_Singer21,  Lets 1000 today ill follow back immediatelyretweet fast /RIP/Pwani University/KDD 233P/Babu Owino/Vera,MaandamanoThursdays Raila
martine_caleb, ,MaandamanoThursdays
GideonKibicho1,  Kuna mtu ameambia truly love country take bullet nothing Ruto Citizen TV Imara Daima Edwin Sifuna,Raila Maandamano RailaOdinga
bitcoineriey,  Bora msifanyie kitu Sugoi prince rest mjipende,MaandamanoMondays
OgolaSirikal,  bold brave,MaandamanoThursdays
Mxi92478176,  BREAKING NEWS RAILA ODINGA CURRENTLY BEGING RUNDA/KAREN WELL WISHERS CONTRIBUTE NIGHT MEAL LONG DAY DEMONSTRATING WITHOUT TAKING MEAL MANSION KAREN Edwin sifuna / vera,MaandamanoMondays
MohamedBamursal,  Poor Kenyans blindfold join foot place place yet master vehicle draw huge salary national coffer lead example donate earnings resign else let Kenyans work earn living,MaandamanoThursdays
KenyasTweep,  Mkiambiwa cost live mnajam Wajinga ni nyinyi Pwani university Raila Odinga pipeline William Ruto,MaandamanoThursdays MaandamanoThursday MaandamanoMondays
BeingCharlie,  100 % Horrific,Maandamano MaandamanoThursdays MaandamanoMondays CostOfLivingCrisis
CallebMeshack,  matter side body happy Enough enough,MaandamanoThursdays
KWC_Congress,  Goonverment Sounds funny funny,MaandamanoThursdays
lord_tilla,  cop goon hire state,MaandamanoThursdays RHONairobi Raila
DjGhost254,  journalist expect go scenewangejipin security tosha ama walidhani camera itasimamisha teargas,MaandamanoThursdays Raila
Jeshi_LaBABA,  HEAD POWER PEOPLE,MaandamanoThursdays
CrazyMaxxy,  Goonverment say,MaandamanoThursdays
Juliohwachirah,  Mambo iko hii Kenya ni mingi,MaandamanoThursdays
tipsy_collins,  female accuses bruv fuck fuck bad Guilty nah youll damn prove innocence,MaandamanoThursdays
irenetindi,  Elders Religious leader Country bring two premier together dialogue Children Women age PWDs hurt God help Kenya Restore sanity,MaandamanoThursdays
BeingCharlie,  Scenes Uganda play Nairobi Happened Kizza Besigelye Uganda Today happen Raila Odinga Kenya,Maandamano MaandamanoThursdays MaandamanoMondays CostOfLivingCrisis
Reptile_ke,  Biblia iliwekwa chini alafu shetani akachukua usukani sad day Kenya,MaandamanoThursdays
